indice_tiempo,total_aglomerados_urbanos,gran_buenos_aires,total_aglomerados_del_interior,provincia_buenos_aires_bahia_blanca_cerri,provincia_buenos_aires_gran_la_plata,provincia_buenos_aires_mar_del_plata_batan,provincia_catamarca_gran_catamarca,provincia_cordoba_gran_cordoba,provincia_cordoba_rio_cuarto,provincia_corrientes_corrientes,provincia_chaco_gran_resistencia,provincia_chubut_comodoro_rivadavia_rada_tilly,provincia_entre_rios_concordia,provincia_entre_rios_gran_parana,provincia_formosa_formosa,provincia_jujuy_san_salvador_jujuy_palpala,provincia_la_pampa_santa_rosa_toay,provincia_la_rioja_la_rioja,provincia_mendoza_gran_mendoza,provincia_misiones_posadas,provincia_neuquen_nuequen_plottier,provincia_salta_salta,provincia_san_juan_gran_san_juan,provincia_san_luis_san_luis_el_chorrillo,provincia_santa_cruz_rio_gallegos,provincia_santa_fe_gran_rosario,provincia_santa_fe_gran_santa_fe,provincia_santiago_del_estero_santiago_del_estero_la_banda,provincia_tierra_del_fuego_ushuaia_rio_grande,provincia_tucuman_gran_san_martin_tucuman_tafi_viejo,ciudad_buenos_aires,partidos_del_conurbano,partidos_a_partir_del_98,buenos_aires_santa_fe_san_nicolas_villa_constitucion,chubut_rawson_trelew,rio_negro_buenos_aires_viedma_carmen_patagones
1974-05-01,0.05,0.042,0.071,,0.084,,,0.08,,,,0.046,,,,,,,0.05,0.076,,,,,,0.046,,,,0.106,,,,,,
1974-11-01,0.034,0.025,0.057999999999999996,,0.077,,,0.054000000000000006,,,0.10400000000000001,0.053,,0.087,,,,,0.047,0.044000000000000004,,,,,,0.037000000000000005,0.055,,,0.075,,,,,,
1975-05-01,0.035,0.024,0.06,,0.067,,,0.061,,,0.068,0.05,0.062,0.076,,,,,0.040999999999999995,0.064,,,,,,0.053,0.057999999999999996,,,0.084,,,,,,
1975-11-01,0.038,0.027999999999999997,0.059000000000000004,,0.063,,,0.07200000000000001,,,0.077,0.049,0.027999999999999997,0.052000000000000005,0.061,,,,0.044000000000000004,0.045,,,,,,0.057,0.044000000000000004,,,0.069,,,,,,
1976-05-01,0.052000000000000005,0.048,0.061,,0.0,,,0.065,,,0.048,,,0.044000000000000004,0.076,,,,0.059000000000000004,0.053,0.048,,,,,0.053,0.075,,,0.07400000000000001,,,,,,
1976-11-01,0.044000000000000004,0.040999999999999995,0.052000000000000005,,0.0,,,0.054000000000000006,,0.084,0.049,,0.035,0.042,0.075,,,,0.048,0.035,0.046,,,,,0.040999999999999995,0.059000000000000004,0.075,,0.055999999999999994,,,,,,
1977-05-01,0.039,0.034,0.051,,0.057999999999999996,,,0.059000000000000004,,0.057999999999999996,0.034,,0.034,0.039,0.057,,,,0.044000000000000004,0.051,0.027999999999999997,,,,,0.035,0.038,0.062,,0.073,,,,,,
1977-11-01,0.027000000000000003,0.022000000000000002,0.04,,0.0,,,0.04,,0.054000000000000006,0.027999999999999997,,0.026000000000000002,0.036000000000000004,0.10099999999999999,0.031,,,0.044000000000000004,0.033,0.03,,,,,0.026000000000000002,0.057,0.055999999999999994,,0.043,,,,,,
1978-05-01,0.042,0.039,0.048,,0.038,,,0.051,,0.036000000000000004,0.04,0.069,0.031,0.052000000000000005,0.068,0.026000000000000002,,,0.028999999999999998,0.04,0.027000000000000003,,,,,0.055,0.055,0.053,,0.068,,,,,,
1978-11-01,0.023,0.017,0.035,,0.036000000000000004,,0.076,0.027000000000000003,,0.055,0.022000000000000002,0.0,0.013000000000000001,0.037000000000000005,0.055999999999999994,0.04,,,0.035,0.034,0.024,,,,,0.023,0.055,0.038,,0.049,,,,,,
1979-05-01,0.026000000000000002,0.02,0.036000000000000004,,0.027999999999999997,,0.076,0.026000000000000002,,0.034,0.025,0.047,0.008,0.028999999999999998,0.06,0.019,,0.079,0.027999999999999997,0.053,0.023,0.037000000000000005,,0.063,0.03,0.031,0.039,0.061,,0.059000000000000004,,,,,,
1979-11-01,0.024,0.02,0.03,,0.02,,0.07400000000000001,0.018000000000000002,,0.016,0.015,0.022000000000000002,0.022000000000000002,0.022000000000000002,0.049,0.017,,0.08900000000000001,0.034,0.039,0.025,0.02,0.046,0.024,0.024,0.027000000000000003,0.031,0.06,,0.049,,,,,,
